ID,RAM,HDD,SSD1,SSD2,OS,CHIPSET,SCREEN SIZE,RESOLUTION,GRAPHICS CARD,GPU MEMORY,PRICE
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,37116
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,49236
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,50036
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,62036
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,47876
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,58836
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,59636
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,69236
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,38836
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,49796
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,50596
IdeaPad 3 14i,12,0,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,62036
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,47876
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,58836
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,59636
IdeaPad 3 14i,12,0,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,69236
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,38676
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,50796
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,51596
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,63596
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,49436
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,60396
IdeaPad 3 14i,4,0,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,61196
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,70796
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,40396
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,51356
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,52156
IdeaPad 3 14i,12,0,128.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,63596
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,49436
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,60396
IdeaPad 3 14i,8,0,128.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,61196
IdeaPad 3 14i,12,0,128.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,70796
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,38276
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,50396
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,51196
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,63196
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,49036
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,59996
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,60796
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,70396
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,39996
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,50956
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,51756
IdeaPad 3 14i,12,0,256.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,63196
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,49036
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,59996
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,60796
IdeaPad 3 14i,12,0,256.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,70396
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,39836
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,51956
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,52756
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,64756
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,50596
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,61556
IdeaPad 3 14i,4,0,256.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,62356
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,71956
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i3-10-G1,14,FHD,Integrated,0,41556
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i5-10-G1,14,FHD,Integrated,0,52516
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Home,Intel-i5-10-G4,14,FHD,Integrated,0,53316
IdeaPad 3 14i,12,0,256.00,0.00,Windows-Home,Intel-i7-10-G7,14,FHD,Integrated,0,64756
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i3-10-G1,14,FHD,Integrated,0,50596
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i5-10-G1,14,FHD,Integrated,0,61556
IdeaPad 3 14i,8,0,256.00,0.00,Windows-Pro,Intel-i5-10-G4,14,FHD,Integrated,0,62356
IdeaPad 3 14i,12,0,256.00,0.00,Windows-Pro,Intel-i7-10-G7,14,FHD,Integrated,0,71956
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,41476
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,53596
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,54396
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i7-10-G7,14,HD,Integrated,0,66396
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i3-10-G1,14,HD,Integrated,0,52236
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G1,14,HD,Integrated,0,63196
IdeaPad 3 14i,4,0,512.00,0.00,Windows-Pro,Intel-i5-10-G4,14,HD,Integrated,0,63996
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Pro,Intel-i7-10-G7,14,HD,Integrated,0,73596
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i3-10-G1,14,HD,Integrated,0,43196
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G1,14,HD,Integrated,0,54156
IdeaPad 3 14i,8,0,512.00,0.00,Windows-Home,Intel-i5-10-G4,14,HD,Integrated,0,54956
